Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
35069907,12/20/2016 11:42,4/1/2017 14:31,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,11375,,,,,,,,FOREST HILLS,,N/A,Closed,1/3/2017 11:42,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/1/2017 14:31,06 QUEENS,QUEENS,,,Yellowstone Municipal Park - Katzman Playground,QUEENS,Yellowstone Municipal Park - Katzman Playground,Q425-01,,,7185205900,Yellowstone Boulevard between 68th Avenue and 68th Road,FOREST HILLS,NY,11375,N,,,,,,,,,,,,,,
35049944,12/18/2016 13:54,12/27/2016 11:29,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10023,,,,,,,,NEW YORK,,N/A,Closed,1/1/2017 13:54,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,12/27/2016 11:29,07 MANHATTAN,MANHATTAN,,,Riverside Park,MANHATTAN,Riverside Park,M071,,,2124080250,"Riverside Drive to Hudson River, West 59th Street to Clair Place",NEW YORK,NY,10023,N,,,,,,,,,,,,,,
34944562,12/6/2016 11:34,3/31/2017 9:12,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11201,,,,,,,,BROOKLYN,,N/A,Closed,12/20/2016 11:34,The reported condition was inspected and a summons has been issued.,3/31/2017 9:12,02 BROOKLYN,BROOKLYN,,,Fort Greene Park,BROOKLYN,Fort Greene Park,B032,,,7189658900,"Myrtle Avenue, Cumberland Street, DeKalb Beach Avenue",BROOKLYN,NY,11201,N,,,,,,,,,,,,,,
34932595,12/5/2016 14:10,4/1/2017 14:24,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,12/19/2016 14:10,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,4/1/2017 14:24,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,N,,,,,,,,,,,,,,
34918149,12/3/2016 22:29,4/1/2017 14:15,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,12/17/2016 22:29,The issue has been inspected and the offending party has been confronted and informed of their wrongdoing.  The situation has been remedied.,4/1/2017 14:15,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,N,,,,,,,,,,,,,,
34905439,12/1/2016 15:36,4/1/2017 14:11,DPR,Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,12/15/2016 15:36,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/1/2017 14:11,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,N,,,,,,,,,,,,,,
34804093,11/17/2016 19:41,2/1/2017 20:30,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11361,,,,,,,,BAYSIDE,,N/A,Closed,12/1/2016 19:41,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,2/1/2017 20:30,11 QUEENS,QUEENS,,,Crocheron Park,QUEENS,Crocheron Park,Q012,,,7185205900,"33rd to 35th Avenues, Little Neck Bay",BAYSIDE,NY,11361,N,,,,,,,,,,,,,,
34785754,11/15/2016 13:38,4/1/2017 13:10,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11426,,,,,,,,BELLEROSE,,N/A,Closed,11/29/2016 13:38,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/1/2017 13:10,13 QUEENS,QUEENS,,,Alley Pond Park,QUEENS,Alley Pond Park,Q001,,,7185205900,"Little Neck Bay to Spring Boulevard, Union Turnpike",BELLEROSE,NY,11426,N,,,,,,,,,,,,,,
34723023,11/7/2016 10:36,2/1/2017 20:28,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,11105,,,,,,,,ASTORIA,,N/A,Closed,11/21/2016 10:36,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,2/1/2017 20:28,01 QUEENS,QUEENS,,,Astoria Park,QUEENS,Astoria Park,Q004,,,7185205900,"Astoria Park South, 21st Street, Hoyt Avenue, Ditmars Boulevard, East River",ASTORIA,NY,11105,N,,,,,,,,,,,,,,
34622936,10/25/2016 21:27,2/1/2017 20:27,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,10029,,,,,,,,NEW YORK,,N/A,Closed,11/8/2016 21:27,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,2/1/2017 20:27,11 MANHATTAN,MANHATTAN,,,Thomas Jefferson Park,MANHATTAN,Thomas Jefferson Park,M047,,,2124080100,"1st Avenue to FDR Drive, East 111th to 114th Streets",NEW YORK,NY,10029,N,,,,,,,,,,,,,,
34486700,10/7/2016 9:31,2/1/2017 20:24,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,11211,,,,,,,,BROOKLYN,,N/A,Closed,10/21/2016 9:31,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,2/1/2017 20:24,01 BROOKLYN,BROOKLYN,,,Berry Playground,BROOKLYN,Berry Playground,B154,,,7189658900,"South 3rd Street, Berry Street and Bedford Avenue",BROOKLYN,NY,11211,N,,,,,,,,,,,,,,
35073998,12/21/2016 10:42,12/21/2016 11:36,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Recreation Center,11374,93-29 QUEENS BOULEVARD,QUEENS BOULEVARD,62 DRIVE,62 AVENUE,,,,REGO PARK,,N/A,Closed,1/4/2017 10:42,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/21/2016 11:36,06 QUEENS,QUEENS,"1,021,376","205,799",Recreation Center - Lost Battalion Hall,QUEENS,Recreation Center - Lost Battalion Hall,Q401,,,7182631163,93-29 Queens Boulevard,REGO PARK,NY,11374,,,,,,,,,,,,,40.73146947,-73.86604358,"(40.73146947225762, -73.86604357823555)"
35072906,12/21/2016 14:47,12/21/2016 15:07,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10462,,,,,,,,BRONX,,N/A,Closed,1/4/2017 14:47,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/21/2016 15:07,09 BRONX,BRONX,,,Virginia Playground,BRONX,Virginia Playground,X148L,,,7184301800,Virginia Avenue and White Plains Road,BRONX,NY,10462,,,,,,,,,,,,,,,
35071620,12/20/2016 12:02,12/20/2016 12:16,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11201,,,,,,,,BROOKLYN,,N/A,Closed,1/3/2017 12:02,The issue has been inspected and the offending party has been confronted and informed of their wrongdoing.  The situation has been remedied.,12/20/2016 12:16,Unspecified BROOKLYN,BROOKLYN,,,Brooklyn Bridge Park,BROOKLYN,Brooklyn Bridge Park,B431,,,NA 0/0,Plymouth Street Between Main Street and Washington Street,BROOKLYN,NY,11201,,,,,,,,,,,,,,,
35038691,12/17/2016 13:59,12/17/2016 15:12,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10003,,,,,,,,NEW YORK,,N/A,Closed,12/31/2016 13:59,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/17/2016 15:12,05 MANHATTAN,MANHATTAN,,,Union Square Park,MANHATTAN,Union Square Park,M089,,,2124080100,"Broadway to 4th Avenue, East 14th to 17th Streets",NEW YORK,NY,10003,,,,,,,,,,,,,,,
35032683,12/16/2016 9:10,12/16/2016 9:14,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,11375,,,,,,,,FOREST HILLS,,N/A,Closed,12/30/2016 9:10,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,12/16/2016 9:14,Unspecified QUEENS,QUEENS,,,Flushing Meadows Corona Park,QUEENS,Flushing Meadows Corona Park,Q099,,,7183536342,"Grand Central Parkway, Van Wyck Expressway",FOREST HILLS,NY,11375,,,,,,,,,,,,,,,
35028259,12/16/2016 15:12,12/16/2016 15:39,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11368,,,,,NATIONAL STREET,ROOSEVELT AVENUE,INTERSECTION,CORONA,,N/A,Closed,12/30/2016 15:12,The issue has been inspected and the offending party has been confronted and informed of their wrongdoing.  The situation has been remedied.,12/16/2016 15:39,03 QUEENS,QUEENS,"1,022,285","212,504",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74986915,-73.86272586,"(40.74986914506844, -73.86272585671628)"
35013910,12/14/2016 11:16,12/14/2016 11:56,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10002,,,,,,,,NEW YORK,,N/A,Closed,12/28/2016 11:16,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,12/14/2016 11:56,03 MANHATTAN,MANHATTAN,,,Tanahey Playground,MANHATTAN,Tanahey Playground,M206,,,2124080100,"Cherry to Water Streets, West Catherine to Market Slips",NEW YORK,NY,10002,,,,,,,,,,,,,,,
35012847,12/14/2016 15:07,12/14/2016 15:29,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11416,,,,,,,,OZONE PARK,,N/A,Closed,12/28/2016 15:07,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/14/2016 15:29,09 QUEENS,QUEENS,,,London Planetree Playground,QUEENS,London Planetree Playground,Q128,,,7185205900,"88th Street, Atlantic to 95th Avenues",OZONE PARK,NY,11416,,,,,,,,,,,,,,,
35011725,12/14/2016 12:08,12/14/2016 15:54,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10022,,,,,EAST   60 STREET,YORK AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,12/28/2016 12:08,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/14/2016 15:54,08 MANHATTAN,MANHATTAN,"995,535","215,907",East River Park,MANHATTAN,East River Park,M144,,,2124080100,"Montgomery Street to East 12th Street, FDR Drive",NEW YORK,NY,10002,,,,,,,,,,,,,40.75928411,-73.95926496,"(40.75928411341196, -73.95926496390386)"
35004660,12/13/2016 15:54,12/13/2016 16:45,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,12/27/2016 15:54,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time.  All complaints are used for future enforcement planning.,12/13/2016 16:45,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,,,,,,,,,,,,,,,
34999677,12/13/2016 13:07,12/13/2016 13:34,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,12/27/2016 13:07,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,12/13/2016 13:34,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,,,,,,,,,,,,,,,
34988965,12/12/2016 10:28,12/12/2016 11:20,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11235,,,,,,,,BROOKLYN,,N/A,Closed,12/26/2016 10:28,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,12/12/2016 11:20,15 BROOKLYN,BROOKLYN,,,PS 286 Playground,BROOKLYN,PS 286 Playground,B306,,,7189658900,Avenue Y between Brown and Haring Streets,BROOKLYN,NY,11235,N,,,,,,,,,,,,,,
34987508,12/11/2016 14:34,12/11/2016 15:01,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,11236,,,,,,,,BROOKLYN,,N/A,Closed,12/25/2016 14:34,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/11/2016 15:01,18 BROOKLYN,BROOKLYN,,,Canarsie Park,BROOKLYN,Canarsie Park,B018,,,7189658900,"Paerdegat and Seaview Avenues, East 93rd Street, Skidmore Avenue",BROOKLYN,NY,11236,,,,,,,,,,,,,,,
34973862,12/10/2016 11:31,12/10/2016 14:30,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10301,,,,,,,,STATEN ISLAND,,N/A,Closed,12/24/2016 11:31,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",12/10/2016 14:30,01 STATEN ISLAND,STATEN ISLAND,,,Clove Lakes Park,STATEN ISLAND,Clove Lakes Park,R005,,,7183908027,"Slosson Avenue, Victory Boulevard, Clove Road",STATEN ISLAND,NY,10301,N,,,,,,,,,,,,,,
34957071,12/8/2016 8:41,12/8/2016 9:41,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10454,,,,,BROOK AVENUE,EAST  141 STREET,INTERSECTION,BRONX,,N/A,Closed,12/22/2016 8:41,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,12/8/2016 9:41,01 BRONX,BRONX,"1,006,936","234,238",Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8095759,-73.91804932,"(40.809575899202756, -73.91804932154116)"
34955768,12/7/2016 10:43,12/7/2016 13:12,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Street/Curbside,10009,,,,,EAST   13 STREET,AVENUE B,INTERSECTION,NEW YORK,,N/A,Closed,12/21/2016 10:43,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/7/2016 13:12,03 MANHATTAN,MANHATTAN,"990,199","204,779",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72874574,-73.97853596,"(40.728745737015274, -73.97853596190389)"
34954699,12/7/2016 9:41,12/7/2016 9:51,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10462,,,,,,,,BRONX,,N/A,Closed,12/21/2016 9:41,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,12/7/2016 9:51,09 BRONX,BRONX,,,Virginia Playground,BRONX,Virginia Playground,X148L,,,7184301800,Virginia Avenue and White Plains Road,BRONX,NY,10462,,,,,,,,,,,,,,,
34945681,12/6/2016 13:11,12/6/2016 13:31,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10023,,,,,,,,NEW YORK,,N/A,Closed,12/20/2016 13:11,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,12/6/2016 13:31,07 MANHATTAN,MANHATTAN,,,Riverside Park,MANHATTAN,Riverside Park,M071,,,2124080250,"Riverside Drive to Hudson River, West 59th Street to Clair Place",NEW YORK,NY,10023,,,,,,,,,,,,,,,
